order_id,customer_id,product_id,channel_id,order_date,quantity,unit_price,total_amount,order_status,delivery_date
ORD-10099,CUST-0164,PROD-113,CH-01,2021-11-21,2,2239.31,4478.62,completed,2021-11-26
ORD-10100,CUST-0072,PROD-117,CH-01,2022-09-21,1,2591.06,2591.06,refunded,2022-09-27
ORD-10101,CUST-0480,PROD-129,CH-01,2023-10-27,5,2312.12,11560.6,completed,2023-11-01
ORD-10102,CUST-0103,PROD-124,CH-01,2022-06-15,2,2616.01,5232.02,completed,2022-06-20
ORD-10103,CUST-0394,PROD-151,CH-01,2023-11-16,1,694.05,694.05,completed,2023-11-21
ORD-10104,CUST-0428,PROD-131,CH-03,2023-09-21,1,2870.03,2870.03,completed,2023-09-24
ORD-10105,CUST-0255,PROD-101,CH-01,2021-06-23,3,2062.47,6187.41,completed,2021-07-01
ORD-10106,CUST-0038,PROD-104,CH-03,2021-04-24,2,2837.12,5674.24,completed,2021-05-01
ORD-10107,CUST-0412,PROD-106,CH-02,2023-01-25,1,3605.58,3605.58,completed,2023-02-02
ORD-10108,CUST-0198,PROD-112,CH-02,2021-10-29,2,3413.06,6826.12,completed,2021-11-03
ORD-10109,CUST-0197,PROD-137,CH-01,2022-08-09,1,1872.15,1872.15,cancelled,
ORD-10110,CUST-0296,PROD-120,CH-01,2023-06-18,1,1732.27,1732.27,completed,2023-06-27
ORD-10111,CUST-0123,PROD-149,CH-01,2023-01-04,1,1190.52,1190.52,cancelled,
ORD-10112,CUST-0256,PROD-125,CH-01,2021-05-22,2,2577.58,5155.16,completed,2021-05-26
ORD-10113,CUST-0265,PROD-128,CH-03,2021-02-21,2,2085.07,4170.14,completed,2021-02-26
ORD-10114,CUST-0275,PROD-108,CH-02,2023-06-15,2,2898.12,5796.24,completed,2023-06-21
ORD-10115,CUST-0254,PROD-134,CH-02,2023-03-25,1,1351.99,1351.99,completed,2023-04-02
ORD-10116,CUST-0147,PROD-105,CH-01,2023-12-16,2,3221.29,6442.58,cancelled,
ORD-10117,CUST-0346,PROD-130,CH-01,2021-09-17,2,1868.22,3736.44,cancelled,
ORD-10118,CUST-0116,PROD-146,CH-02,2023-03-02,1,1869.39,1869.39,completed,2023-03-10
ORD-10119,CUST-0172,PROD-111,CH-01,2022-10-13,2,3494.37,6988.74,cancelled,
ORD-10120,CUST-0187,PROD-146,CH-02,2021-03-08,2,1869.39,3738.78,pending,
ORD-10121,CUST-0043,PROD-110,CH-01,2022-12-26,3,2635.02,7905.06,completed,2022-12-28
ORD-10122,CUST-0053,PROD-138,CH-01,2023-11-01,3,1695.68,5087.04,cancelled,
ORD-10123,CUST-0447,PROD-102,CH-03,2022-04-29,1,3124.58,3124.58,completed,2022-05-05
ORD-10124,CUST-0401,PROD-108,CH-01,2023-08-06,2,2898.12,5796.24,completed,2023-08-15
ORD-10125,CUST-0196,PROD-145,CH-02,2023-04-04,1,2094.18,2094.18,completed,2023-04-13
ORD-10126,CUST-0387,PROD-113,CH-03,2022-05-21,1,2239.31,2239.31,completed,2022-05-29
ORD-10127,CUST-0264,PROD-109,CH-01,2022-10-29,1,2552.17,2552.17,cancelled,
ORD-10128,CUST-0016,PROD-117,CH-02,2021-01-29,2,2591.06,5182.12,completed,2021-02-05
ORD-10129,CUST-0277,PROD-130,CH-01,2022-01-31,3,1868.22,5604.66,cancelled,
ORD-10130,CUST-0034,PROD-112,CH-01,2021-09-08,1,3413.06,3413.06,completed,2021-09-11
ORD-10131,CUST-0041,PROD-108,CH-01,2023-07-17,1,2898.12,2898.12,completed,2023-07-26
ORD-10132,CUST-0265,PROD-148,CH-01,2022-12-20,2,1847.98,3695.96,completed,2022-12-29
ORD-10133,CUST-0021,PROD-113,CH-03,2022-09-22,3,2239.31,6717.93,cancelled,
ORD-10134,CUST-0490,PROD-113,CH-02,2022-06-01,1,2239.31,2239.31,completed,2022-06-08
ORD-10135,CUST-0409,PROD-138,CH-01,2021-06-11,1,1695.68,1695.68,completed,2021-06-14
ORD-10136,CUST-0414,PROD-109,CH-01,2023-06-17,1,2552.17,2552.17,completed,2023-06-25
ORD-10137,CUST-0178,PROD-112,CH-02,2023-05-17,2,3413.06,6826.12,completed,2023-05-24
ORD-10138,CUST-0009,PROD-150,CH-02,2021-10-16,1,583.16,583.16,pending,
ORD-10139,CUST-0309,PROD-123,CH-02,2023-05-10,3,1828.62,5485.86,completed,2023-05-17
ORD-10140,CUST-0291,PROD-129,CH-01,2021-07-14,1,2312.12,2312.12,completed,2021-07-18
ORD-10141,CUST-0162,PROD-149,CH-02,2023-08-01,2,1190.52,2381.04,completed,2023-08-06
ORD-10142,CUST-0485,PROD-142,CH-02,2022-12-24,1,1585.41,1585.41,completed,2023-01-01
ORD-10143,CUST-0350,PROD-108,CH-02,2023-10-09,1,2898.12,2898.12,completed,2023-10-13
ORD-10144,CUST-0358,PROD-111,CH-02,2021-09-04,2,3494.37,6988.74,completed,2021-09-07
ORD-10145,CUST-0465,PROD-107,CH-02,2022-11-20,2,3718.81,7437.62,completed,2022-11-26
ORD-10146,CUST-0409,PROD-103,CH-01,2023-01-13,1,3714.61,3714.61,pending,
ORD-10147,CUST-0004,PROD-142,CH-02,2021-09-10,1,1585.41,1585.41,completed,2021-09-18
ORD-10148,CUST-0097,PROD-107,CH-01,2022-12-06,1,3718.81,3718.81,cancelled,
ORD-10149,CUST-0424,PROD-131,CH-01,2023-05-05,2,2870.03,5740.06,completed,2023-05-14
ORD-10150,CUST-0150,PROD-111,CH-01,2023-04-27,1,3494.37,3494.37,completed,2023-04-30
ORD-10151,CUST-0246,PROD-119,CH-01,2023-08-26,2,2695.51,5391.02,completed,2023-09-03
ORD-10152,CUST-0286,PROD-126,CH-02,2023-10-20,2,2119.57,4239.14,completed,2023-10-23
ORD-10153,CUST-0444,PROD-150,CH-02,2022-06-30,1,583.16,583.16,completed,2022-07-05
ORD-10154,CUST-0019,PROD-113,CH-02,2022-10-07,1,2239.31,2239.31,completed,2022-10-15
ORD-10155,CUST-0327,PROD-107,CH-02,2023-05-19,2,3718.81,7437.62,cancelled,
ORD-10156,CUST-0100,PROD-135,CH-01,2021-08-01,1,1649.8,1649.8,completed,2021-08-10
ORD-10157,CUST-0370,PROD-123,CH-02,2022-07-14,3,1828.62,5485.86,completed,2022-07-19
ORD-10158,CUST-0381,PROD-119,CH-03,2023-11-15,1,2695.51,2695.51,completed,2023-11-21
ORD-10159,CUST-0379,PROD-132,CH-03,2021-01-14,4,1633.99,6535.96,completed,2021-01-19
ORD-10160,CUST-0084,PROD-131,CH-01,2021-09-20,2,2870.03,5740.06,completed,2021-09-23
ORD-10161,CUST-0383,PROD-139,CH-01,2022-07-16,1,1168.54,1168.54,completed,2022-07-24
ORD-10162,CUST-0454,PROD-108,CH-03,2023-09-30,1,2898.12,2898.12,completed,2023-10-04
ORD-10163,CUST-0062,PROD-132,CH-02,2023-09-15,1,1633.99,1633.99,cancelled,
ORD-10164,CUST-0117,PROD-123,CH-02,2023-07-14,3,1828.62,5485.86,completed,2023-07-21
ORD-10165,CUST-0257,PROD-107,CH-03,2023-02-03,2,3718.81,7437.62,completed,2023-02-10
ORD-10166,CUST-0364,PROD-131,CH-02,2022-03-23,4,2870.03,11480.12,completed,2022-03-25
ORD-10167,CUST-0143,PROD-132,CH-02,2023-04-01,4,1633.99,6535.96,completed,2023-04-05
ORD-10168,CUST-0273,PROD-112,CH-01,2021-01-02,1,3413.06,3413.06,cancelled,
ORD-10169,CUST-0029,PROD-103,CH-01,2021-06-03,2,3714.61,7429.22,completed,2021-06-10
ORD-10170,CUST-0374,PROD-106,CH-03,2022-05-01,1,3605.58,3605.58,completed,2022-05-07
ORD-10171,CUST-0471,PROD-110,CH-01,2021-07-12,1,2635.02,2635.02,completed,2021-07-17
ORD-10172,CUST-0407,PROD-154,CH-01,2021-01-14,2,998.62,1997.24,completed,2021-01-17
ORD-10173,CUST-0375,PROD-108,CH-01,2023-11-28,1,2898.12,2898.12,completed,2023-12-04
ORD-10174,CUST-0165,PROD-127,CH-03,2021-05-27,1,2641.01,2641.01,completed,2021-06-04
ORD-10175,CUST-0205,PROD-146,CH-03,2023-04-16,1,1869.39,1869.39,completed,2023-04-21
ORD-10176,CUST-0061,PROD-111,CH-02,2023-10-23,2,3494.37,6988.74,completed,2023-10-27
ORD-10177,CUST-0369,PROD-114,CH-01,2022-04-05,3,3231.42,9694.26,completed,2022-04-10
ORD-10178,CUST-0435,PROD-105,CH-01,2022-03-19,1,3221.29,3221.29,completed,2022-03-24
ORD-10179,CUST-0135,PROD-130,CH-03,2022-10-30,1,1868.22,1868.22,cancelled,
ORD-10180,CUST-0262,PROD-133,CH-03,2022-05-15,1,1042.17,1042.17,completed,2022-05-23
ORD-10181,CUST-0229,PROD-113,CH-01,2023-02-27,3,2239.31,6717.93,cancelled,
ORD-10182,CUST-0368,PROD-118,CH-01,2023-10-04,3,1912.21,5736.63,completed,2023-10-06
ORD-10183,CUST-0024,PROD-101,CH-01,2021-01-04,3,2062.47,6187.41,completed,2021-01-11
ORD-10184,CUST-0058,PROD-106,CH-03,2021-05-13,1,3605.58,3605.58,completed,2021-05-20
ORD-10185,CUST-0400,PROD-113,CH-01,2023-07-28,2,2239.31,4478.62,completed,2023-08-03
ORD-10186,CUST-0223,PROD-103,CH-01,2021-04-29,1,3714.61,3714.61,completed,2021-05-05
ORD-10187,CUST-0268,PROD-109,CH-03,2023-03-14,1,2552.17,2552.17,completed,2023-03-20
ORD-10188,CUST-0425,PROD-130,CH-01,2022-06-25,3,1868.22,5604.66,completed,2022-06-29
ORD-10189,CUST-0401,PROD-123,CH-03,2022-08-11,1,1828.62,1828.62,refunded,2022-08-16
ORD-10190,CUST-0191,PROD-107,CH-01,2021-06-25,2,3718.81,7437.62,completed,2021-07-04
ORD-10191,CUST-0235,PROD-154,CH-01,2021-01-27,1,998.62,998.62,completed,2021-01-31
ORD-10192,CUST-0401,PROD-113,CH-01,2021-05-05,2,2239.31,4478.62,refunded,2021-05-11
ORD-10193,CUST-0387,PROD-114,CH-02,2022-08-21,1,3231.42,3231.42,completed,2022-08-25
ORD-10194,CUST-0452,PROD-146,CH-01,2022-03-17,1,1869.39,1869.39,completed,2022-03-19
ORD-10195,CUST-0481,PROD-112,CH-03,2021-10-30,3,3413.06,10239.18,completed,2021-11-06
ORD-10196,CUST-0360,PROD-143,CH-01,2021-05-31,4,2100.35,8401.4,completed,2021-06-06
ORD-10197,CUST-0280,PROD-106,CH-01,2022-09-30,2,3605.58,7211.16,completed,2022-10-07
ORD-10198,CUST-0007,PROD-155,CH-03,2023-10-25,3,469.35,1408.05,pending,
ORD-10199,CUST-0177,PROD-126,CH-02,2021-02-01,4,2119.57,8478.28,completed,2021-02-09
ORD-10200,CUST-0082,PROD-103,CH-01,2021-03-29,2,3714.61,7429.22,completed,2021-04-01
ORD-10201,CUST-0382,PROD-102,CH-01,2021-01-14,4,3124.58,12498.32,completed,2021-01-18
ORD-10202,CUST-0148,PROD-138,CH-01,2021-05-03,2,1695.68,3391.36,completed,2021-05-07
ORD-10203,CUST-0197,PROD-120,CH-01,2022-01-17,1,1732.27,1732.27,completed,2022-01-25
ORD-10204,CUST-0325,PROD-107,CH-02,2022-05-22,1,3718.81,3718.81,completed,2022-05-29
ORD-10205,CUST-0485,PROD-137,CH-01,2022-10-25,1,1872.15,1872.15,completed,2022-11-03
ORD-10206,CUST-0316,PROD-144,CH-02,2023-01-07,2,1202.67,2405.34,completed,2023-01-10
ORD-10207,CUST-0260,PROD-144,CH-01,2021-11-07,1,1202.67,1202.67,completed,2021-11-13
ORD-10208,CUST-0383,PROD-110,CH-01,2023-06-18,1,2635.02,2635.02,completed,2023-06-20
ORD-10209,CUST-0447,PROD-105,CH-01,2022-06-22,1,3221.29,3221.29,completed,2022-06-28
ORD-10210,CUST-0094,PROD-147,CH-02,2022-01-15,1,1334.76,1334.76,completed,2022-01-24
ORD-10211,CUST-0367,PROD-103,CH-01,2021-06-22,1,3714.61,3714.61,completed,2021-06-28
ORD-10212,CUST-0442,PROD-140,CH-02,2021-12-07,1,1752.42,1752.42,completed,2021-12-11
ORD-10213,CUST-0029,PROD-127,CH-01,2021-07-28,1,2641.01,2641.01,completed,2021-08-05
ORD-10214,CUST-0491,PROD-101,CH-01,2022-07-15,1,2062.47,2062.47,completed,2022-07-24
ORD-10215,CUST-0092,PROD-127,CH-03,2023-01-17,2,2641.01,5282.02,completed,2023-01-24
ORD-10216,CUST-0441,PROD-110,CH-03,2023-01-16,1,2635.02,2635.02,refunded,2023-01-21
ORD-10217,CUST-0344,PROD-111,CH-01,2021-04-23,3,3494.37,10483.11,pending,
ORD-10218,CUST-0330,PROD-138,CH-02,2022-12-08,2,1695.68,3391.36,completed,2022-12-13
ORD-10219,CUST-0008,PROD-105,CH-02,2021-03-21,1,3221.29,3221.29,cancelled,
ORD-10220,CUST-0311,PROD-139,CH-01,2021-06-11,2,1168.54,2337.08,completed,2021-06-20
ORD-10221,CUST-0271,PROD-155,CH-01,2022-09-18,2,469.35,938.7,completed,2022-09-25
ORD-10222,CUST-0459,PROD-144,CH-02,2021-01-06,3,1202.67,3608.01,completed,2021-01-15
ORD-10223,CUST-0369,PROD-153,CH-02,2023-03-01,3,920.02,2760.06,cancelled,
ORD-10224,CUST-0052,PROD-128,CH-01,2022-02-23,3,2085.07,6255.21,completed,2022-03-04
ORD-10225,CUST-0260,PROD-103,CH-01,2021-08-24,1,3714.61,3714.61,completed,2021-08-27
ORD-10226,CUST-0393,PROD-143,CH-02,2021-10-09,1,2100.35,2100.35,completed,2021-10-16
ORD-10227,CUST-0033,PROD-107,CH-01,2022-04-27,1,3718.81,3718.81,pending,
ORD-10228,CUST-0127,PROD-101,CH-01,2022-01-07,2,2062.47,4124.94,completed,2022-01-16
ORD-10229,CUST-0077,PROD-122,CH-01,2021-05-12,3,2788.03,8364.09,completed,2021-05-19
ORD-10230,CUST-0197,PROD-107,CH-02,2023-05-10,1,3718.81,3718.81,completed,2023-05-13
ORD-10231,CUST-0163,PROD-112,CH-01,2023-01-01,1,3413.06,3413.06,completed,2023-01-09
ORD-10232,CUST-0422,PROD-103,CH-01,2023-10-20,1,3714.61,3714.61,cancelled,
ORD-10233,CUST-0098,PROD-106,CH-03,2021-01-12,1,3605.58,3605.58,completed,2021-01-14
ORD-10234,CUST-0081,PROD-101,CH-01,2023-05-19,2,2062.47,4124.94,refunded,2023-05-24
ORD-10235,CUST-0142,PROD-106,CH-03,2022-05-30,2,3605.58,7211.16,completed,2022-06-03
ORD-10236,CUST-0301,PROD-104,CH-03,2023-06-28,4,2837.12,11348.48,completed,2023-07-07
ORD-10237,CUST-0387,PROD-114,CH-03,2023-05-13,2,3231.42,6462.84,completed,2023-05-16
ORD-10238,CUST-0420,PROD-114,CH-01,2023-06-03,1,3231.42,3231.42,cancelled,
ORD-10239,CUST-0304,PROD-110,CH-01,2021-07-21,2,2635.02,5270.04,completed,2021-07-30
ORD-10240,CUST-0167,PROD-132,CH-01,2023-02-23,1,1633.99,1633.99,completed,2023-02-26
ORD-10241,CUST-0383,PROD-136,CH-01,2023-06-24,2,1227.29,2454.58,cancelled,
ORD-10242,CUST-0188,PROD-109,CH-01,2023-06-12,1,2552.17,2552.17,cancelled,
ORD-10243,CUST-0234,PROD-119,CH-02,2022-01-26,2,2695.51,5391.02,completed,2022-02-03
ORD-10244,CUST-0193,PROD-137,CH-01,2023-05-03,1,1872.15,1872.15,completed,2023-05-12
ORD-10245,CUST-0436,PROD-140,CH-01,2023-10-31,3,1752.42,5257.26,cancelled,
ORD-10246,CUST-0313,PROD-149,CH-01,2021-05-24,3,1190.52,3571.56,cancelled,
ORD-10247,CUST-0244,PROD-102,CH-03,2021-12-08,1,3124.58,3124.58,cancelled,
ORD-10248,CUST-0293,PROD-123,CH-01,2023-09-23,1,1828.62,1828.62,completed,2023-09-29
ORD-10249,CUST-0134,PROD-111,CH-03,2022-03-21,2,3494.37,6988.74,completed,2022-03-28
ORD-10250,CUST-0041,PROD-150,CH-01,2021-01-06,1,583.16,583.16,refunded,2021-01-14
ORD-10251,CUST-0342,PROD-130,CH-01,2022-04-24,4,1868.22,7472.88,completed,2022-05-03
ORD-10252,CUST-0410,PROD-134,CH-03,2023-01-20,2,1351.99,2703.98,completed,2023-01-23
ORD-10253,CUST-0021,PROD-145,CH-01,2021-01-24,4,2094.18,8376.72,completed,2021-01-30
ORD-10254,CUST-0292,PROD-112,CH-01,2021-07-31,1,3413.06,3413.06,completed,2021-08-04
ORD-10255,CUST-0238,PROD-109,CH-03,2021-01-15,1,2552.17,2552.17,completed,2021-01-23
ORD-10256,CUST-0331,PROD-108,CH-01,2023-12-15,2,2898.12,5796.24,completed,2023-12-22
ORD-10257,CUST-0019,PROD-102,CH-02,2021-05-05,1,3124.58,3124.58,completed,2021-05-07
ORD-10258,CUST-0498,PROD-124,CH-03,2022-05-02,2,2616.01,5232.02,completed,2022-05-07
ORD-10259,CUST-0217,PROD-123,CH-01,2022-01-11,1,1828.62,1828.62,completed,2022-01-16
ORD-10260,CUST-0227,PROD-111,CH-01,2021-04-14,2,3494.37,6988.74,completed,2021-04-17
ORD-10261,CUST-0234,PROD-135,CH-01,2021-05-25,1,1649.8,1649.8,cancelled,
